time,bid-price,bid-volume,ask-price,ask-volume
2008-01-02 18:20:46.151000064,62.51,3,62.55,1
2008-01-02 18:20:46.391000320,62.5,64,62.55,1
2008-01-02 18:20:46.391000320,62.5,64,62.54,1
2008-01-02 18:20:46.621000448,62.5,60,62.54,1
2008-01-02 18:20:47.447000064,62.5,68,62.54,1
2008-01-02 18:20:49.641999872,62.5,70,62.54,1
2008-01-02 18:20:50.853000192,62.5,70,62.55,1
2008-01-02 18:20:51.383000064,62.5,68,62.55,1
2008-01-02 18:20:53.039999744,62.5,68,62.56,1
2008-01-02 18:20:53.308999936,62.52,2,62.56,1
2008-01-02 18:20:54.130999808,62.52,2,62.57,1
2008-01-02 18:20:54.184000256,62.54,1,62.57,1
2008-01-02 18:20:54.184000256,62.52,2,62.57,1
2008-01-02 18:20:54.211000320,62.53,1,62.57,1
2008-01-02 18:20:54.372000256,62.54,1,62.57,1
2008-01-02 18:20:54.513000448,62.53,1,62.57,1
2008-01-02 18:20:54.622000640,62.53,1,62.58,5
2008-01-02 18:20:54.766000128,62.53,2,62.58,5
2008-01-02 18:20:55.252999680,62.56,1,62.58,5
2008-01-02 18:20:55.252999680,62.56,1,62.58,6
2008-01-02 18:20:57.436000512,62.56,1,62.58,4
2008-01-02 18:20:58.064000000,62.56,1,62.58,6
2008-01-02 18:20:59.488999936,62.56,1,62.58,4
2008-01-02 18:21:00.292999936,62.56,1,62.58,3
2008-01-02 18:21:00.348000512,62.56,1,62.57,1
2008-01-02 18:21:01.163999744,62.56,1,62.57,3
2008-01-02 18:21:03.309999872,62.54,2,62.57,3
2008-01-02 18:21:03.392000000,62.54,2,62.57,2
2008-01-02 18:21:03.392000000,62.54,2,62.56,1
2008-01-02 18:21:03.588999680,62.54,1,62.56,1
2008-01-02 18:21:03.588999680,62.54,1,62.56,2
2008-01-02 18:21:03.634000384,62.52,7,62.56,2
2008-01-02 18:21:03.634000384,62.52,7,62.55,1
2008-01-02 18:21:03.648999936,62.52,7,62.53,1
2008-01-02 18:21:03.825999872,62.52,6,62.53,1
2008-01-02 18:21:04.005999872,62.52,3,62.53,1
2008-01-02 18:21:04.005999872,62.51,4,62.53,1
2008-01-02 18:21:04.046999808,62.5,61,62.53,1
2008-01-02 18:21:04.385999872,62.51,1,62.53,1
2008-01-02 18:21:04.569000192,62.51,1,62.53,2
2008-01-02 18:21:04.632999936,62.51,1,62.53,1
2008-01-02 18:21:04.654000384,62.5,62,62.53,1
2008-01-02 18:21:04.654000384,62.5,61,62.53,1
2008-01-02 18:21:04.802000384,62.5,62,62.53,1
2008-01-02 18:21:05.052999936,62.5,62,62.52,2
2008-01-02 18:21:05.119999232,62.5,62,62.51,19
2008-01-02 18:21:05.301999616,62.5,61,62.51,19
